haulno,year,month,day,time,rockhopper,hauldur,haullat,haullon,netopening,distance,groundspeed,presence,dcoast,bath,btemp_mi,current_mi,pp
1,2021,10,30,1239,1,31,54.611,-10.576,3.6,3705,3.9,0,0.581885,-234,10.53293641,0.089609273,0.000109
2,2021,10,30,1516,1,21,54.859,-10.291,4.1,2410,3.7,1,0.6084249,-224,10.70163875,0.094753067,0.000246
3,2021,10,31,736,1,31,55.104,-10.047,4,3562,3.7,0,0.7936819,-240,10.5738922,0.11438888,0.000107
4,2021,10,31,1014,1,32,55.241,-9.57,3.9,3963,4,1,0.9148754,-110,11.17117737,0.074806228,0.000351
5,2021,10,31,1236,1,31,55.444,-9.253,3.9,3787,4,1,0.8172165,-130,11.17926815,0.079511944,0.000238
6,2021,10,31,1520,1,21,55.73,-9.107,-9,2466,3.8,0,0.9015799,-122,11.23708192,0.075678953,0.00036
7,2021,11,1,743,1,15,56.463,-9.071,3.8,1785,3.9,0,1.4236091,-410,10.59487239,0.070022314,9.70E-05
8,2021,11,1,957,1,21,56.203,-9.097,-9,2469,3.8,1,1.2560557,-175,10.89248202,0.063596948,6.10E-05
9,2021,11,1,1145,1,33,56.157,-8.759,3.9,3813,3.7,0,1.0183296,-123,10.83076564,0.099544943,0.000226
10,2021,11,1,1409,1,32,55.993,-8.381,4,3769,3.8,1,0.7304028,-143,10.4041611,0.070859724,1.00E-04
11,2021,11,1,1654,1,16,56.198,-8.264,4,1803,3.6,1,0.8427371,-155,10.47617452,0.117510424,0.000194
12,2021,11,2,735,1,31,56.384,-8.293,3.9,3610,3.8,0,0.7498072,-165,10.38727504,0.069699827,8.40E-05
13,2021,11,2,1010,1,15,56.393,-7.791,3.7,1739,3.8,0,0.4135414,-169,10.57346963,0.101116831,0.000322
14,2021,11,2,1212,1,31,56.184,-7.803,4,3532,3.7,1,0.6172249,-87,11.6203324,0.109314869,0.001068
15,2021,11,2,1417,1,31,56.036,-7.702,-9,3729,3.9,1,0.723869,-158,10.78556257,0.055462111,0.000329
16,2021,11,2,1629,1,21,55.923,-7.974,4,2537,3.9,0,0.6844684,-171,10.60888522,0.06499388,8.80E-05
17,2021,11,3,813,1,31,56.246,-7.201,-9,3740,3.9,0,0.3026307,-93,12.13642459,0.077739521,0.000645
19,2021,11,3,1425,1,30,56.203,-6.77,4,3855,4.2,0,0.1463578,-68,12.02346134,0.079074857,0.002748
20,2021,11,3,1634,1,21,56.052,-7.019,4,2554,3.9,0,0.3847004,-87,12.22755747,0.054936676,0.001859
21,2021,11,4,718,1,31,55.817,-8.375,4,3743,3.9,0,0.5567141,-133,11.08113148,0.125646209,0.000388
22,2021,11,4,953,1,18,55.667,-8.642,4.1,2062,3.7,0,0.5539339,-92,11.25181759,0.077146446,0.000646
23,2021,11,4,1155,1,27,55.584,-8.294,4,3182,3.8,0,0.31266,-84,11.67266902,0.089818849,0.000634
24,2021,11,4,1350,1,15,55.578,-7.971,4.1,1717,3.7,0,0.3521488,-76,12.04190921,0.078243653,0.001031
25,2021,11,4,1655,1,36,55.24,-7.95,4.6,4341,3.9,0,0.0262304,-42,12.02892221,0.039551525,0.015204
26,2021,11,5,713,1,27,55.534,-7.748,4.2,3311,4,0,0.2727589,-65,12.29063463,0.074709499,0.001255
27,2021,11,5,857,1,20,55.651,-7.545,4.2,2331,3.8,0,0.3090275,-63,12.22198971,0.051277617,0.001208
28,2021,11,5,1048,1,28,55.604,-7.314,-9,3170,3.7,0,0.1685129,-56,12.23590472,0.048308811,0.001945
29,2021,11,5,1319,1,31,55.876,-7.058,4.5,3776,3.9,0,0.4633936,-53,12.13481616,0.074217294,0.002847
30,2021,11,5,1630,1,31,55.802,-7.658,4.1,3614,3.8,0,0.4962709,-113,11.56952261,0.107935842,0.001178
31,2021,11,6,719,1,32,55.573,-6.724,4.2,3192,3.2,0,0.2307947,-127,12.14958561,0.100442488,0.001377
33,2021,11,7,845,1,20,55.246,-7.583,5.5,2567,4.2,0,0.0252899,-16,11.1390304,0.033006177,0.016008
34,2021,11,8,729,1,30,55.272,-8.763,4.5,3688,4,0,0.3288881,-96,11.60313035,0.081891116,0.000643
35,2021,11,8,1001,1,31,55.086,-9.003,4.3,3740,3.9,0,0.4284745,-87,11.8162535,0.079462138,0.000642
36,2021,11,8,1313,1,32,54.973,-9.4,4.3,3522,3.6,0,0.6413647,-91,11.66978803,0.074679859,0.000623
37,2021,11,8,1603,1,20,54.788,-9.619,4.5,2057,3.3,0,0.4602883,-98,11.73260202,0.082884509,0.000479
38,2021,11,9,743,1,32,54.569,-9.541,4.5,3664,3.7,0,0.2454932,-95,12.04013347,0.059776586,0.00064
39,2021,11,9,1037,1,31,54.62,-9.01,4.5,3583,3.7,0,0.1766573,-83,12.54695223,0.08283975,0.001399
40,2021,11,9,1224,1,33,54.568,-8.707,4.5,3788,3.7,0,0.0576373,-74,12.74928197,0.021231774,0.001403
41,2021,11,9,1353,1,31,54.518,-8.541,4.3,3691,3.9,0,0.0796441,-56,13.15862938,0.059660604,0.007989
42,2021,11,9,1522,1,31,54.583,-8.35,4.5,3578,3.7,0,0.0295983,-31,13.42900608,0.016183504,0.009048
44,2021,11,10,1111,1,21,54.328,-9.922,4.5,2456,3.8,0,0.0540235,-60,12.21704843,0.046329235,0.015916
45,2021,11,10,1309,1,29,54.459,-10.186,4.1,3355,3.7,1,0.1980569,-111,11.15621232,0.070770236,0.000339
46,2021,11,12,1328,0,30,53.173,-9.3,4.3,3782,4.1,0,0.0343475,-33,13.26377999,0.027325195,0.019156
47,2021,11,12,1533,0,30,53.193,-9.617,4.2,3549,3.8,0,0.0396565,-50,12.97189759,0.027345978,0.017845
48,2021,11,13,727,0,30,53.839,-10.044,4.3,3647,3.9,0,0.0334309,-48,12.28097006,0.050052811,0.015975
49,2021,11,13,946,0,30,53.693,-10.383,4,3601,3.9,0,0.1168811,-93,11.36278468,0.03609315,0.000861
50,2021,11,13,1200,0,30,53.907,-10.598,4.1,3652,3.9,0,0.3197558,-139,10.73472733,0.054588506,0.000204
51,2021,11,13,1417,0,20,54.16,-10.688,4.2,2614,4.2,0,0.3786198,-178,10.66182865,0.105085621,8.70E-05
52,2021,11,13,1611,0,30,54.301,-10.322,4.1,3716,4,0,0.1842612,-118,11.09086209,0.067738099,0.000553
53,2021,11,14,734,0,30,54.261,-11.199,3.8,3586,3.9,0,0.8991907,-329,10.41047384,0.080829341,0
54,2021,11,14,952,0,30,54.042,-11.206,3.8,3740,4,1,0.8853144,-251,10.78009908,0.058338221,0
55,2021,11,14,1209,0,30,53.82,-11.083,3.8,3720,4,0,0.8009366,-178,10.81114537,0.074512989,7.30E-05
56,2021,11,14,1433,0,30,53.8,-11.462,3.8,3699,4,1,1.1717436,-261,10.784504,0.069290588,0
57,2021,11,14,1645,0,20,53.954,-11.538,3.8,2365,3.8,0,1.2221829,-312,10.63726897,0.074276646,0
